Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
4,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
1,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,False,,,,,,
4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
10,0.0,132.0,0.0,0.0,0.0,6.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
7,8.0,60.0,0.0,0.0,0.0,8.0,0.0,0.0,False,,,,,,
5,,,,,,,,,,,,,,,
3,306.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
13,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
5,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,,,,,,
1,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,4.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,False,,,,,,
1,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,False,School of Education and Human Development,0,7.0,10.0,2.0,8.0
2,,,,,,,,,,,,,,,
3,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
22,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,False,,,,,,
8,0.0,0.0,0.0,0.0,0.0,8.0,288.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
14,126.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
16,244.0,340.0,0.0,0.0,0.0,4.0,0.0,0.0,False,,,,,,
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,1,8.0,9.0,8.0,7.0
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,,,,,,
2,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,230.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,False,,,,,,
1,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
3,210.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
