,avg_unemployment,survey_year,Auth Identifier,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg
3488,3.6,2023,ynx5gc,Still Looking,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1,4,,0,1,0,1,0,0
3489,3.6,2023,dag5wd,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,2,10,3.9,0,1,0,0,1,0
3490,3.6,2023,sz3zs,Working,0,Sociology,Male,College and Graduate School of Arts & Sciences,1,1,8,,0,0,0,0,0,0
3491,3.6,2023,sz3zs,Working,0,Sociology,Male,College and Graduate School of Arts & Sciences,1,1,8,3.81,0,0,0,0,0,0
3492,3.6,2023,ayk2ea,Working,2,Architecture,Female,School of Architecture,1,2,13,3.8,0,1,0,0,1,0
3493,3.6,2023,kmk9wzg,Working,2,Psychology,Female,College and Graduate School of Arts & Sciences,1,0,1,,0,1,0,0,0,0
3494,3.6,2023,elk5mvf,Fellowship,1,Anthropology,Female,College and Graduate School of Arts & Sciences,0,1,18,,0,1,0,0,0,0
3495,3.6,2023,sma8gk,Continuing Education,1,History,Female,College and Graduate School of Arts & Sciences,0,0,4,,0,1,1,0,0,0
3496,3.6,2023,eka8tw,Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0,8,,0,0,0,0,0,0
3497,3.6,2023,ncr7pp,Still Looking,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0,0,,0,0,0,1,0,0
3498,3.6,2023,daw5de,Working,0,Mathematics,Male,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0
3499,3.6,2023,chb3sz,Continuing Education,3,Spanish,Female,College and Graduate School of Arts & Sciences,0,9,34,3.56,0,1,1,0,1,0
3500,3.6,2023,msw4wdt,Continuing Education,2,Education - Kinesiology,Female,School of Education and Human Development,0,0,0,,0,1,1,0,0,0
3501,3.6,2023,afb3etn,Not Seeking,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,19,,0,1,0,0,1,0
3502,3.6,2023,sl9gv,Still Looking,0,Philosophy,Male,College and Graduate School of Arts & Sciences,0,2,1,,0,0,0,1,1,0
3503,3.6,2023,jwk4nvx,Still Looking,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1,47,3.93,0,1,0,1,0,0
3504,3.6,2023,jwk4nvx,Still Looking,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1,47,,0,1,0,1,0,0
3505,3.6,2023,sim3cpk,Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,66,3.85,0,0,0,0,0,1
3506,3.6,2023,pmv8ev,Fellowship,3,Physics,Male,College and Graduate School of Arts & Sciences,0,1,0,,0,1,0,0,0,0
3507,3.6,2023,sms7vd,Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0,0,3.7,0,0,0,0,0,0
3508,3.6,2023,uce4nmx,Still Looking,1,East Asian Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1,7,,0,1,0,1,0,0
3509,3.6,2023,bml2cu,Still Looking,1,Music,Male,College and Graduate School of Arts & Sciences,0,0,10,3.81,0,1,0,1,0,0
3510,3.6,2023,bml2cu,Still Looking,1,Music,Male,College and Graduate School of Arts & Sciences,0,0,10,3.97,0,1,0,1,0,0
3511,3.6,2023,sea3wy,Still Looking,3,English,Female,College and Graduate School of Arts & Sciences,0,0,930,,0,1,0,1,0,1
3512,3.6,2023,sar6nh,Still Looking,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,3,9,3.6,0,1,0,1,1,0
