Internship,Job,First Gen
189.0,6.0,False
65.0,65.0,False
120.0,129.0,False
684.0,224.0,False
680.0,48.0,False
30.0,90.0,False
15.0,0.0,False
420.0,4.0,False
0.0,0.0,False
0.0,0.0,False
100.0,35.0,False
220.0,70.0,False
1375.0,75.0,False
2050.0,85.0,False
96.0,12.0,False
15.0,0.0,False
135.0,20.0,False
135.0,60.0,False
96.0,0.0,False
236.0,740.0,False
255.0,710.0,False
255.0,195.0,True
4.0,0.0,False
585.0,0.0,False
0.0,0.0,False
305.0,85.0,False
565.0,0.0,False
15.0,100.0,False
245.0,235.0,False
70.0,0.0,False
48.0,105.0,False
0.0,25.0,False
168.0,237.0,False
0.0,150.0,False
920.0,495.0,False
0.0,0.0,False
124.0,36.0,False
215.0,45.0,False
5.0,5.0,False
120.0,10.0,False
95.0,10.0,False
592.0,436.0,True
55.0,5.0,False
288.0,4.0,False
56.0,12.0,False
9.0,6.0,True
105.0,612.0,True
152.0,80.0,False
20.0,0.0,True
60.0,0.0,False
0.0,0.0,False
0.0,46.0,False
614.0,924.0,True
50.0,0.0,False
440.0,185.0,False
765.0,1250.0,False
28.0,0.0,False
955.0,1985.0,True
1005.0,330.0,False
26.0,6.0,False
0.0,125.0,True
88.0,20.0,False
205.0,215.0,False
12.0,16.0,False
10.0,20.0,True
42.0,6.0,False
0.0,0.0,True
38.0,50.0,False
484.0,4.0,False
45.0,9.0,False
52.0,136.0,False
92.0,188.0,False
12.0,56.0,False
0.0,0.0,False
0.0,0.0,False
45.0,50.0,False
536.0,16.0,False
170.0,65.0,False
48.0,4.0,False
1152.0,0.0,False
108.0,3.0,True
104.0,18.0,False
20.0,0.0,False
0.0,0.0,False
0.0,0.0,False
12.0,56.0,True
39.0,42.0,False
0.0,5.0,True
75.0,9.0,False
155.0,240.0,False
129.0,45.0,False
308.0,132.0,False
170.0,0.0,False
0.0,24.0,False
0.0,0.0,False
108.0,0.0,False
88.0,48.0,False
44.0,12.0,False
120.0,5.0,False
0.0,4.0,False
10.0,10.0,False
525.0,15.0,False
140.0,24.0,False
0.0,28.0,False
0.0,12.0,False
420.0,25.0,False
0.0,0.0,False
0.0,24.0,False
240.0,0.0,False
140.0,50.0,False
0.0,0.0,False
220.0,76.0,False
100.0,185.0,False
52.0,64.0,False
0.0,0.0,False
0.0,0.0,False
2305.0,350.0,False
20.0,5.0,False
216.0,8.0,False
168.0,12.0,False
836.0,124.0,False
0.0,15.0,False
0.0,504.0,False
45.0,145.0,False
0.0,2.0,False
205.0,250.0,False
10.0,0.0,False
75.0,10.0,False
36.0,36.0,False
25.0,0.0,False
102.0,99.0,False
0.0,130.0,False
0.0,5.0,True
20.0,0.0,False
0.0,0.0,False
12.0,204.0,False
60.0,560.0,False
10.0,115.0,False
95.0,0.0,False
256.0,0.0,False
225.0,10.0,False
0.0,10.0,True
695.0,1710.0,False
0.0,2.0,False
85.0,140.0,False
2.0,0.0,False
0.0,20.0,True
35.0,80.0,False
24.0,0.0,False
425.0,415.0,False
24.0,8.0,False
20.0,10.0,True
0.0,16.0,True
0.0,28.0,False
0.0,0.0,False
40.0,0.0,False
0.0,0.0,False
102.0,0.0,False
15.0,0.0,False
3.0,3.0,False
4.0,8.0,False
210.0,370.0,False
118.0,182.0,False
320.0,195.0,False
0.0,0.0,False
603.0,384.0,False
696.0,420.0,False
156.0,68.0,False
45.0,60.0,True
5.0,0.0,False
170.0,10.0,False
0.0,0.0,False
72.0,4.0,False
0.0,0.0,False
2300.0,1790.0,False
