Q10.1_fds_2024,Number of Internships,How many internships (summer and/or academic year) did you have while attending the University of Virginia?_fds_2021,"If you participated in internships, how many internships did you have while attending the University of Virginia?_fds_2022",Primary Major,Recipient Primary Major_fds_2022,Recipient Primary Majors_fds_2021,First Gen,College_fds_2024,Career Readiness,Q5.4_fds_2024,Alignment,Q10.4_fds_2024,Q10.5_fds_2024,time of IPP,num_fairs,num_appointments,num_events_signed_up,num_events_checked_in,Internship Applications,Job Applications,On Campus Student Employment,Volunteer,Fellowship_application,Graduate School,Cooperative Education,Experiential Learning
1,,,,,,,False,College and Graduate School of Arts & Sciences,3.0,Computer Science,6.0,5.0,4.0,,21.0,288.0,7.0,2.0,88.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,Commerce - Finance,Cognitive Science - Interdisciplinary,False,,,,,,,,6.0,88.0,9.0,2.0,21.0,72.0,0.0,0.0,0.0,0.0,0.0,3.0
,,,,,,Engineering - Computer Science,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,['Spring 22'],1.0,,,,,,,,,,,
,1,,,Biochemistry & Molecular Genetics,,,,,,,,,,,1.0,,,,,,,,,,,
2,,,,,,,False,College and Graduate School of Arts & Sciences,6.0,,8.0,8.0,7.0,,1.0,,,,,,,,,,,
,0,,,Engineering - Biomedical Engineering,,,,,,,,,,,1.0,28.0,,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Engineering - Systems Engineering,,,,,,,,,2.0,,,,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
,2,,,Engineering - Computer Engineering,,,False,,,,,,,,6.0,,,,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Economics,,,False,,,,,,,,2.0,,1.0,1.0,15.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Data Science,,,,,,,,,1.0,99.0,,,,,,,,,,
,,,,,,,False,,,,,,,,15.0,4.0,6.0,0.0,102.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0
,1,,,Engineering - Computer Science,,,False,,,,,,,,8.0,390.0,12.0,4.0,83.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,3.0,30.0,,,296.0,202.0,10.0,0.0,2.0,0.0,0.0,10.0
